campus,borough2,school_corrected
HS OF ECONOMICS & FINANCE,MANHATTAN,
JULIA RICHMAN EDUCATIONAL COMPLEX,MANHATTAN,
WESTCHESTER SQUARE ACADEMY ,BRONX,
ART & DESIGN HS,,
NEW DORP EVENING M/W,STATEN ISLAND,
NEW MS@Q314 ,QUEENS,
P721 OTC,BRONX,
STEM INSTITUTE OF MANHATTAN,MANHATTAN,
ALFRED SMITH CAREER & TECHNICAL EDUCATION HS,BRONX,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIG
EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL @320 EAST 96TH ST,,
ALFRED E. SMITH CAMPUS YABC,BRONX,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIG
CHRISTOPHER COLUMBUS HS GED,BRONX,
HS OF ARTS & TECHNOLOGY,MANHATTAN,HIGH SCHOOL OF ARTS AND TECHNOLOGY
SUCCESS ACADEMY CHARTER SCHOOL-SPRINGFIELD GARDENS-NEW YORK 6,QUEENS,
WILLIAM H TAFT HIGH SCHOOL,BRONX,
HS FOR EXCELLENCE & INNOVATION,MANHATTAN,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION
KHALIL GIBRAN INTERNATIONAL ACADEMY@K806 ,BROOKLYN,KHALIL GIBRAN INTERNATIONAL ACADEMY
"QUEENS HS FOR INFORMATION,RESEARCH & TECHNOLOGY ",QUEENS,
RICHMOND HILL HS ANNEX,QUEENS,RICHMOND HILL HIGH SCHOOL
BROOKLYN INTERNATIONAL HS AT WATERS EDGE,BROOKLYN,BROOKLYN INTERNATIONAL HIGH SCHOOL
BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,BROOKLYN,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN
DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,MANHATTAN,DEMOCRACY PREP CHARTER SCHOOL
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY,BRONX,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNO
HS FOR CONSTRUCTION TRADES ENGINEERING & ARCHITECTURE,QUEENS,HIGH SCHOOL FOR CONSTRUCTION TRADES ENGINEERING A
"THE MARIE CURIE HS FOR NURSING,MEDICINE & ALLIED HEALTH PROFESSIONS",BRONX,THE MARIE CURIE SCHOOL FOR MEDICINE NURSING AND
THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTHCARE,BROOKLYN,
CAREERS IN SPORTS HS,BRONX,
EDWARD R MURROW HS GED,BROOKLYN,
GEORGE W. WINGATE HS GED ,BROOKLYN,
HS FOR ARTS & BUSINESS,QUEENS,
IS/JHS 229,BRONX,IS 229 ROLAND PATTERSON
IS/JHS 98,BROOKLYN,IS 98 BAY ACADEMY
IS/JHS 99,MANHATTAN,
JACQUELINE K ONASSIS HS,MANHATTAN,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL
JOHN F. KENNEDY JR. SCHOOL ,QUEENS,
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,MANHATTAN,
WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN,BROOKLYN,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI
BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL ,QUEENS,
PROSPECT HEIGHTS EVENING M/W,BROOKLYN,
AUXILIARY SERVICES@SAINT GEORGE DAY,STATEN ISLAND,
EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,STATEN ISLAND,
EAST NY FAMILY ACADEMY,,
NELSON MANDELA HS,BROOKLYN,
NEST+M NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY & MATH HS,MANHATTAN,
"NEW EXPLORATIONS INTO SCIENCE,TECHNOLOGY & MATH SCHOOL-NEST+M",MANHATTAN,
SEWARD PARK GED,MANHATTAN,
ARCHIMEDES ACADEMY FOR MATH SCIENCE & TECHNOLOGY APPLICATIONS,BRONX,
BEDFORD PARK ELEMENTARY SCHOOL,BRONX,
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,MANHATTAN,
EVANDER CHILDS EVENING HS,BRONX,
FORT HAMILTON HS GED,BROOKLYN,
HS FOR HUMANITIES,MANHATTAN,
MARTA VALLE MODEL HS,MANHATTAN,
MONROE ACADEMY ANNEX,BRONX,
